timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
8221260,8217008,0,nan,nan,5.0580393e-06,-3.6198558e-06,-1.8733058e-07,0.0,0.0,0.0,0.0012297772,-0.0011654019,-0.0001880958,-0.00018273639,0.0016646442,-0.0008497321,0.0,-0.09927665,-0.09441355,-0.062484063,0.059568956,0.05962174,nan,0.10000664,0.70622146,3.5000029,7.071068,0.4500181,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
8229578,8228931,0,nan,nan,2.768045e-05,-7.2773855e-06,3.14315e-05,0.0,0.0,0.0,0.0032230532,0.00092476147,0.0057723084,0.0057867607,0.0016646442,-0.0008497321,0.0,0.25397918,0.22426037,0.46337518,0.05917099,0.05962174,nan,0.1,0.7097526,3.5000114,7.071089,0.45004514,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
8317266,8316546,0,nan,nan,0.00038506015,0.00024860507,0.1079898,0.0,0.0,0.0,0.006755386,0.0036948046,0.017632043,0.12279461,0.0016646442,-0.0008497321,0.0,-0.01733472,-0.03922935,0.014206093,0.059872326,0.05962174,nan,0.65382683,0.95067334,2.0208514,7.072409,0.45056158,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
8421200,8420316,0,nan,nan,0.0008184763,0.0010761779,0.33599558,0.0,0.0,0.0,0.012700204,0.013640036,0.028124943,0.34202623,0.0016646442,-0.0008497321,0.0,0.14589421,0.09699831,-0.20315196,0.056515843,0.05962174,nan,0.7632247,0.6409804,1.5659493,4.225126,0.45196304,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
8521057,8520346,0,nan,nan,0.002540918,0.0019924755,0.6008273,0.0,0.0,0.0,0.020366084,0.0074873264,0.0415543,0.5769846,0.0016646442,-0.0008497321,0.0,-0.15982814,0.009385736,-0.17330745,0.0556544,0.05962174,nan,0.4587775,0.9637329,1.3247429,4.2346683,0.45414826,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
8621185,8620361,0,nan,nan,0.0051428494,0.002250462,0.79112214,0.0,0.0,0.0,0.0287409,0.003301373,0.053829435,0.7181946,0.0016646442,-0.0008497321,0.0,-0.06531066,0.038482487,0.17833216,0.054729026,0.05962174,nan,0.40330428,0.6257797,1.1703696,2.4308977,0.4570483,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
8721774,8721049,0,nan,nan,0.007185304,0.0021865193,0.9267835,0.0,0.0,0.0,0.024935579,0.0074428087,0.0751122,0.80075485,0.0016646442,-0.0008497321,0.0,0.28736797,0.0173023,0.4600432,0.05682049,0.05962174,nan,0.28478056,0.8251456,1.0615926,2.4566357,0.46060398,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
8821546,8820763,0,nan,nan,0.009062929,0.0024227044,1.0284373,0.0,0.0,0.0,0.027719697,0.0128286565,0.0860246,0.8307649,0.0016646442,-0.0008497321,0.0,0.49714032,0.2099377,-0.011794699,0.056147054,0.05962174,nan,0.18341184,0.5856708,1.021431,1.6323895,0.465145,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
8923088,8922396,0,nan,nan,0.010203917,0.0030254493,1.1233017,0.0,0.0,0.0,0.030741433,0.012858055,0.0978369,0.85184556,0.0016646442,-0.0008497321,0.0,-0.025673531,0.28545305,0.103477634,0.057425894,0.05962174,nan,0.12836647,0.72100395,0.95117086,1.6852944,0.46992162,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
9018774,9018120,0,nan,nan,0.011880082,0.0037917432,1.1775,0.0,0.0,0.0,0.036450583,0.011008395,0.11432342,0.85116696,0.0016646442,-0.0008497321,0.0,0.20812008,0.2068126,0.26365954,0.05730198,0.05962174,nan,0.1,0.8389958,0.8944608,1.7394987,0.47380057,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
